method,mae,rmse,mape,mase,error,skill_vs_naive
holt_winters,2.1690756097817236,2.615522114929937,0.11123494079566217,1.7485646050727266,,0.4473
seasonal_naive,2.8082116447862178,3.4554056763004266,0.1450381490708035,2.263793601054035,,0.2845
naive,3.9246413665814988,4.981124874814911,0.23298388395921116,3.1637850475388656,,0.0
sarima,4.907212932548996,5.868551337977276,0.2852395704667226,3.955868944685512,,-0.2504
