accuracy,loss,val_accuracy,val_loss,epoch
0.5470383167266846,1.0474793910980225,0.6585366129875183,0.7809324264526367,1
0.6842334270477295,0.732913613319397,0.7526132464408875,0.5960876941680908,2
0.7800522446632385,0.5416940450668335,0.7804877758026123,0.5219177603721619,3
0.8144599199295044,0.4535105228424072,0.7682926654815674,0.47542664408683777,4
0.845818817615509,0.37733450531959534,0.8554006814956665,0.3918481767177582,5
0.8963414430618286,0.2787517309188843,0.8536585569381714,0.348116010427475,6
0.9059233665466309,0.23951920866966248,0.8780487775802612,0.32266995310783386,7
0.931620180606842,0.18507538735866547,0.8867595791816711,0.3374231457710266,8
0.9377177953720093,0.15310269594192505,0.895470380783081,0.2856038212776184,9
0.9529616832733154,0.12502922117710114,0.8815330862998962,0.3753657341003418,10
0.9542682766914368,0.12224943190813065,0.8850173950195312,0.36192986369132996,11
0.9590592384338379,0.1163971796631813,0.8832752704620361,0.3269686996936798,12
