chunk_words,overlap,chunks,probes,recall_at_1,recall_at_5,mrr
600,0,2679,300.0,0.5666666666666667,0.8,0.6566666666666665
300,60,6390,300.0,0.47,0.7366666666666667,0.5692777777777775
180,40,10794,300.0,0.4266666666666667,0.6366666666666667,0.5031111111111111
120,20,15048,300.0,0.39,0.6233333333333333,0.4771666666666666
