method,mae,rmse,mape,mase,error,skill_vs_naive
naive,879.25,1132.8618627176043,0.20861134279682939,1.169215425531915,,0.0
seasonal_naive,951.25,1095.6210567527442,0.2158818717987864,1.2649601063829787,,-0.0819
holt_winters,1407.526682004407,1503.6189126210747,0.3100134878211267,1.8717110133037325,,-0.6008
sarima,1613.676618743656,1685.8371705997438,0.3509010140726885,2.145846567478266,,-0.8353
