accuracy,loss,val_accuracy,val_loss,epoch
0.5232499837875366,1.3688633441925049,0.7710000276565552,0.6894384026527405,1
0.731374979019165,0.7707207798957825,0.8190000057220459,0.5320615172386169,2
0.8006250262260437,0.5797258615493774,0.8159999847412109,0.5119391679763794,3
0.8389999866485596,0.46491265296936035,0.878000020980835,0.3588445484638214,4
0.8683750033378601,0.3919207453727722,0.8550000190734863,0.45305830240249634,5
0.8933749794960022,0.3134727478027344,0.8525000214576721,0.4370410144329071,6
0.9013749957084656,0.28765004873275757,0.9024999737739563,0.292709082365036,7
0.9231250286102295,0.22851303219795227,0.909500002861023,0.310336709022522,8
0.9367499947547913,0.1920463591814041,0.8980000019073486,0.3427288830280304,9
0.937250018119812,0.186221644282341,0.9175000190734863,0.33207863569259644,10
